"公司","Vision","Vision依据","Vision来源URL","Vision证据","Mission","Mission依据","Mission来源URL","Mission证据","Value Proposition","VP依据","VP来源URL","VP证据","Slogan","Slogan依据","Slogan来源URL","Slogan证据","状态","候选官方来源","搜索Query","Wiki页"
"贝塔无限","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""贝塔无限"" 官网 ; ""贝塔无限"" 愿景 使命 价值观 ; ""贝塔无限"" 价值主张 口号 ; ""贝塔无限"" 公众号 使命","entities/贝塔无限.html"
"超维动力","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""超维动力"" 官网 ; ""超维动力"" 愿景 使命 价值观 ; ""超维动力"" 价值主张 口号 ; ""超维动力"" 公众号 使命","entities/超维动力.html"
"晨昏线","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""晨昏线"" 官网 ; ""晨昏线"" 愿景 使命 价值观 ; ""晨昏线"" 价值主张 口号 ; ""晨昏线"" 公众号 使命","entities/晨昏线.html"
"成都人形机器人创新中心","","","","","","","","","阿里云创新中心四川成都站产业资讯栏目，汇集各类产业的相关新闻资讯，涵盖各类产业资讯、创业资讯等优质信息，帮助创业者高效准确的研究市场、寻找并评估创业机会，助力中小企业全方位发展","官网描述","https://startup.aliyun.com/city/cd/info/","description: 阿里云创新中心四川成都站产业资讯栏目，汇集各类产业的相关新闻资讯，涵盖各类产业资讯、创业资讯等优质信息，帮助创业者高效准确的研究市场、寻找并评估创业机会，助力中小企业全方位发展","","","","","已搜索并抓取官方来源","成都人形机器人创新中心 <https://www.ruidiculous.com/> ; 成都80后张睿睿“杀入”人形机器人“江湖”！-创新赋能平台 ... <https://startup.aliyun.com/city/cd/info/8190>","""成都人形机器人创新中心"" 官网 ; ""成都人形机器人创新中心"" 愿景 使命 价值观 ; ""成都人形机器人创新中心"" 价值主张 口号 ; ""成都人形机器人创新中心"" 公众号 使命","entities/成都人形机器人创新中心.html"
"赛力斯凤凰","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""赛力斯凤凰"" 官网 ; ""赛力斯凤凰"" 愿景 使命 价值观 ; ""赛力斯凤凰"" 价值主张 口号 ; ""赛力斯凤凰"" 公众号 使命","entities/重庆凤凰技术-赛力斯.html"
"大界机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""大界机器人"" 官网 ; ""大界机器人"" 愿景 使命 价值观 ; ""大界机器人"" 价值主张 口号 ; ""大界机器人"" 公众号 使命","entities/大界机器人.html"
"大晓机器人","","","","","","","","","AI视频专业级协作工作台","显式字段","https://ai-bot.cn/daily-ai-news/","LibTV团队版 正式上线，定位为AI视频专业级协作工作台","","","","","已搜索并抓取官方来源","大晓机器人重磅发布“以人为中心”ACE具身研发范式，以强大 ... <https://aiera.com.cn/2025/12/18/other/admin/79069/%e5%a4%a7%e6%99%93%e6%9c%ba%e5%99%a8%e4%ba%ba%e9%87%8d%e7%a3%85%e5%8f%91%e5%b8%83%e4%bb%a5%e4%ba%ba%e4%b8%ba%e4%b8%ad%e5%bf%83ace%e5%85%b7%e8%ba%ab%e7%a0%94%e5%8f%91%e8%8c%83/> ; Kairos 3.0 - 大晓机器人开源的商业应用世界模型 | AI工具集 <https://ai-bot.cn/kairos-3-0/>","""大晓机器人"" 官网 ; ""大晓机器人"" 愿景 使命 价值观 ; ""大晓机器人"" 价值主张 口号 ; ""大晓机器人"" 公众号 使命","entities/大晓机器人.html"
"戴盟机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""戴盟机器人"" 官网 ; ""戴盟机器人"" 愿景 使命 价值观 ; ""戴盟机器人"" 价值主张 口号 ; ""戴盟机器人"" 公众号 使命","entities/戴盟机器人.html"
"德塔智能","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""德塔智能"" 官网 ; ""德塔智能"" 愿景 使命 价值观 ; ""德塔智能"" 价值主张 口号 ; ""德塔智能"" 公众号 使命","entities/德塔智能.html"
"动易科技","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""动易科技"" 官网 ; ""动易科技"" 愿景 使命 价值观 ; ""动易科技"" 价值主张 口号 ; ""动易科技"" 公众号 使命","entities/动易科技.html"
"发那科","","","","","","","","","为您提供全方位的智能制造解决方案","官网正文","https://www.shanghai-fanuc.com.cn/","为您提供全方位的智能制造解决方案","","","","","已搜索并抓取官方来源","SHANGHAI-FANUC - 发那科机器人-首页 <https://www.shanghai-fanuc.com.cn/> ; 北京发那科-智造无限 <https://bj-fanuc.com.cn/> ; 发那科智能机械-首页 <https://www.shanghai-fanuc-robomachine.com.cn/>","""发那科"" 官网 ; ""发那科"" 愿景 使命 价值观 ; ""发那科"" 价值主张 口号 ; ""发那科"" 公众号 使命","entities/发那科.html"
"法奥机器人","","","","","","","","","在 核心技术 层面，法奥为用户提供高性能产品，公司创新研发了包括无框伺服系统、谐波减速机、机器人控制系统、多维力矩系统、编码器、刹车等核心零部件，让整机性能突破零部件性能的约束与限制","官网正文","http://fairinospark.com/jianjie/","在 核心技术 层面，法奥为用户提供高性能产品，公司创新研发了包括无框伺服系统、谐波减速机、机器人控制系统、多维力矩系统、编码器、刹车等核心零部件，让整机性能突破零部件性能的约束与限制","","","","","已搜索并抓取官方来源","FAIRINO - 法奥机器人 <http://fairinospark.com/jianjie/>","""法奥机器人"" 官网 ; ""法奥机器人"" 愿景 使命 价值观 ; ""法奥机器人"" 价值主张 口号 ; ""法奥机器人"" 公众号 使命","entities/法奥机器人.html"
"泛化世","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""泛化世"" 官网 ; ""泛化世"" 愿景 使命 价值观 ; ""泛化世"" 价值主张 口号 ; ""泛化世"" 公众号 使命","entities/泛化世.html"
"飞阔科技","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""飞阔科技"" 官网 ; ""飞阔科技"" 愿景 使命 价值观 ; ""飞阔科技"" 价值主张 口号 ; ""飞阔科技"" 公众号 使命","entities/飞阔科技.html"
"傅利叶","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""傅利叶"" 官网 ; ""傅利叶"" 愿景 使命 价值观 ; ""傅利叶"" 价值主张 口号 ; ""傅利叶"" 公众号 使命","entities/傅利叶.html"
"富唯智能","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""富唯智能"" 官网 ; ""富唯智能"" 愿景 使命 价值观 ; ""富唯智能"" 价值主张 口号 ; ""富唯智能"" 公众号 使命","entities/富唯智能.html"
"高德具身","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""高德具身"" 官网 ; ""高德具身"" 愿景 使命 价值观 ; ""高德具身"" 价值主张 口号 ; ""高德具身"" 公众号 使命","entities/高德具身业务部-阿里.html"
"高仙机器人","","","","","","","","","开学咯！还记得学生时代开学前一天熬夜赶暑假作业的悲惨时光吗？从长达一两个月的暑假撒欢模式转为攻读学业的hard模式（当然学霸除外）。除了学业上的压力，校园时代更多的是单纯的小美好，是热血少年，是无悔青春","官网描述","http://gs-robot.aichinaw.com/news/index.php?itemid=1433","开学咯！还记得学生时代开学前一天熬夜赶暑假作业的悲惨时光吗？从长达一两个月的暑假撒欢模式转为攻读学业的hard模式（当然学霸除外）。除了学业上的压力，校园时代更多的是单纯的小美好，是热血少年，是无悔青春","","","","","已搜索并抓取官方来源","高仙机器人_无人驾驶洗地机_商用清洁机器人_无人驾驶环卫 ... <http://gs-robot.aichinaw.com/> ; 高仙机器人_无人小扫车_智能清洁机器人与方案畅销全球70国 <https://www.gs-robot.com/>","""高仙机器人"" 官网 ; ""高仙机器人"" 愿景 使命 价值观 ; ""高仙机器人"" 价值主张 口号 ; ""高仙机器人"" 公众号 使命","entities/高仙机器人.html"
"格蓝若机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""格蓝若机器人"" 官网 ; ""格蓝若机器人"" 愿景 使命 价值观 ; ""格蓝若机器人"" 价值主张 口号 ; ""格蓝若机器人"" 公众号 使命","entities/格蓝若机器人.html"
"格松科技","","","","","","","","","格松科技是一家专注于具身智能领域研发与量产的创新型企业","官网描述","http://qydb.leshanvc.com/wap/company.php?id=58769","description: 格松科技是一家专注于具身智能领域研发与量产的创新型企业","","","","","已搜索并抓取官方来源","深圳市格松科技有限公司_格松科技 <http://qydb.leshanvc.com/wap/company.php?id=58769> ; 格松科技 - 公司详情 - 公司简介 - innoHere英诺嘿呀 <https://www.innohere.com/ir/163392/general.html>","""格松科技"" 官网 ; ""格松科技"" 愿景 使命 价值观 ; ""格松科技"" 价值主张 口号 ; ""格松科技"" 公众号 使命","entities/格松科技.html"
"光向科技","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""光向科技"" 官网 ; ""光向科技"" 愿景 使命 价值观 ; ""光向科技"" 价值主张 口号 ; ""光向科技"" 公众号 使命","entities/光向科技.html"
"国巡机器人","","","","","","","","","广州国巡机器人科技有限公司 公司简介，更多详细信息。CMMI中文网收集于网络","官网描述","https://www.cmmizw.com/Company_41765.html","description: 广州国巡机器人科技有限公司 公司简介，更多详细信息","","","","","已搜索并抓取官方来源","广州国巡机器人科技有限公司-CMMI中文网 <https://www.cmmizw.com/Company_41765.html> ; 智能巡检机器人-轨道巡检-智慧巡检管理系统-广州国巡机器人 ... <https://www.gosionrobot.com/> ; 国巡机器人 - 公司详情 - 公司简介 - innoHere英诺嘿呀 <https://www.innohere.com/ir/102425/general.html> ; 广州国巡机器人科技有限公司 <https://m.youuvs.com/shop/6247/index/>","""国巡机器人"" 官网 ; ""国巡机器人"" 愿景 使命 价值观 ; ""国巡机器人"" 价值主张 口号 ; ""国巡机器人"" 公众号 使命","entities/国巡机器人.html"
"国自机器人","","","","","","","","","从初心萌芽，到扬帆起航，国自机器人始终以技术创新为根本，建立了完整的移动机器人技术架构，形成以智能巡检、智能物流及智能制造为核心的产品体系，致力于为人类社会创造智能、健康、安全的生产生活环境","官网描述","https://m.chinaforklift.com/shop/43101/about/","description: 从初心萌芽，到扬帆起航，国自机器人始终以技术创新为根本，建立了完整的移动机器人技术架构，形成以智能巡检、智能物流及智能制造为核心的产品体系，致力于为人类社会创造智能、健康、安全的生产生活环境","","","","","已搜索并抓取官方来源","国自机器人 <https://www.gzrobot.com/about/> ; 公司简介_浙江国自机器人技术股份有限公司 <https://m.chinaforklift.com/shop/43101/about/> ; 浙江国自机器人技术有限公司 <http://www.agv-amr.com/com/gzjqr123/>","""国自机器人"" 官网 ; ""国自机器人"" 愿景 使命 价值观 ; ""国自机器人"" 价值主张 口号 ; ""国自机器人"" 公众号 使命","entities/国自机器人.html"
"海康机器人","","","","","","","","","杭州海康机器人股份有限公司海康机器人HIKROBOT是面向全球的机器视觉和移动机器人产品及解决方案提供商，业务聚焦于工业物联网、智慧物流和智能制造，构建开放合作生态，为工业和物流领域用户提供服务，以创新技术持续推动智能化，引领智能制造进程","官网描述","https://www.hikrobotics.com/cn/","description: 杭州海康机器人股份有限公司海康机器人HIKROBOT是面向全球的机器视觉和移动机器人产品及解决方案提供商，业务聚焦于工业物联网、智慧物流和智能制造，构建开放合作生态，为工业和物流领域用户提供服务，以创新技术持续推动智能化，引领智能制造进程","","","","","已搜索并抓取官方来源","海康机器人-让机器更智能，让智能更普惠 <https://www.hikrobotics.com/cn/> ; 海康机器人-海康AGV智能搬运车-海康AMR叉取机器人-海康 ... <http://www.hik-robot.cn/> ; 海康机器人Hikrobot <https://www.zaoche168.com/snsauto/home_sns-27ec422455d53d96d4cb3c4490ce637c.shtml>","""海康机器人"" 官网 ; ""海康机器人"" 愿景 使命 价值观 ; ""海康机器人"" 价值主张 口号 ; ""海康机器人"" 公众号 使命","entities/海康机器人.html"
"海柔创新","","","","","","","","","汇聚全球人才，使用机器人技术，推动人类社会进步","官网描述","https://www.hairobotics.cn/our-culture","description: 汇聚全球人才，使用机器人技术，推动人类社会进步","","","","","已搜索并抓取官方来源","海柔创新—智能仓储机器人与仓储自动化解决方案专家 <https://www.hairobotics.cn/>","""海柔创新"" 官网 ; ""海柔创新"" 愿景 使命 价值观 ; ""海柔创新"" 价值主张 口号 ; ""海柔创新"" 公众号 使命","entities/海柔创新.html"
"浩海星空","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""浩海星空"" 官网 ; ""浩海星空"" 愿景 使命 价值观 ; ""浩海星空"" 价值主张 口号 ; ""浩海星空"" 公众号 使命","entities/浩海星空.html"
"和晖机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""和晖机器人"" 官网 ; ""和晖机器人"" 愿景 使命 价值观 ; ""和晖机器人"" 价值主张 口号 ; ""和晖机器人"" 公众号 使命","entities/和晖机器人.html"
"华为极目机器","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""华为极目机器"" 官网 ; ""华为极目机器"" 愿景 使命 价值观 ; ""华为极目机器"" 价值主张 口号 ; ""华为极目机器"" 公众号 使命","entities/华为极目机器.html"
"机器科学","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""机器科学"" 官网 ; ""机器科学"" 愿景 使命 价值观 ; ""机器科学"" 价值主张 口号 ; ""机器科学"" 公众号 使命","entities/机器科学（RoboScience）.html"
"吉泰智能","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""吉泰智能"" 官网 ; ""吉泰智能"" 愿景 使命 价值观 ; ""吉泰智能"" 价值主张 口号 ; ""吉泰智能"" 公众号 使命","entities/吉泰智能.html"
"极佳视界","","","","","","","","","AI视频专业级协作工作台","显式字段","https://ai-bot.cn/daily-ai-news/","LibTV团队版 正式上线，定位为AI视频专业级协作工作台","","","","","已搜索并抓取官方来源","极佳科技 <https://gigaai.cc/> ; GigaWorld-1 - 极佳视界开源的具身世界模型 | AI工具集 <https://ai-bot.cn/gigaworld-1/>","""极佳视界"" 官网 ; ""极佳视界"" 愿景 使命 价值观 ; ""极佳视界"" 价值主张 口号 ; ""极佳视界"" 公众号 使命","entities/极佳视界.html"
"极智嘉","to power the next generation of supply chains faster, more resilient, and built for a world that never stands still","显式字段","https://www.geekplus.com/company","Our vision is to power the next generation of supply chains faster, more resilient, and built for a world that never stands still.","","","","","北京极智嘉科技有限公司 (Geek+) 是一家引领全球智慧物流变革的智能机器人公司，在全球AMR市场占有率高达10%，占据市场领先地位。极智嘉成立于2015年，公司总部位于北京，并在香港、日本、德国和美国设有办事处","官网描述","https://www.geekplus.com/cn-0","description: 北京极智嘉科技有限公司 (Geek+) 是一家引领全球智慧物流变革的智能机器人公司，在全球AMR市场占有率高达10%，占据市场领先地位","","","","","已搜索并抓取官方来源","智慧物流 赋能世界 - Geek+ <https://www.geekplus.com/cn-0> ; 北京极智嘉科技有限公司 <http://zgc-riic.com/enterprise/detail/7974ca6f-8e7a-44ab-8afb-eefcbaf3d848> ; 极智嘉官网首页 - Advantech IoTMart (China) <https://iotmart.advantech.com.cn/Search.aspx?skey=%u6781%u667a%u5609%u5b98%u7f51%u9996%u9875> ; 极智嘉 Geek+2026年校招职位信息-牛客网 <https://www.nowcoder.com/enterprise/3057>","""极智嘉"" 官网 ; ""极智嘉"" 愿景 使命 价值观 ; ""极智嘉"" 价值主张 口号 ; ""极智嘉"" 公众号 使命","entities/极智嘉Geek+.html"
"加速进化","","","","","","","","","随时了解加速进化的最新新闻和发展。发现我们的最新成就、产品发布","官网描述","https://www.booster.tech/cn/news","随时了解加速进化的最新新闻和发展。发现我们的最新成就、产品发布","","","","","已搜索并抓取官方来源","加速进化官方网站 | 专为开发者打造 | 为冠军而生 <https://www.booster.tech/zh/> ; 从海淀走出的机器人冠军！加速进化宣布完成近10亿元融资 <https://www.ncsti.gov.cn/kjdt/scyq/zgckxc/zgcdt/202604/t20260422_244584.html> ; 北京加速进化科技有限公司 <https://apsoto.com/supplier/659932> ; 加速进化 - 专注于人形机器人核心技术研发与具身智能生态 ... <https://www.aifun.cc/sites/jiasujinhua.html>","""加速进化"" 官网 ; ""加速进化"" 愿景 使命 价值观 ; ""加速进化"" 价值主张 口号 ; ""加速进化"" 公众号 使命","entities/加速进化.html"
"佳安智能","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""佳安智能"" 官网 ; ""佳安智能"" 愿景 使命 价值观 ; ""佳安智能"" 价值主张 口号 ; ""佳安智能"" 公众号 使命","entities/佳安智能.html"
"迦智科技","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""迦智科技"" 官网 ; ""迦智科技"" 愿景 使命 价值观 ; ""迦智科技"" 价值主张 口号 ; ""迦智科技"" 公众号 使命","entities/迦智科技.html"
"CMR Surgical","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""CMR Surgical"" official website ; ""CMR Surgical"" mission vision values ; ""CMR Surgical"" value proposition tagline","entities/剑桥医疗机器人.html"
"节卡机器人","","","","","","","","","JAKA Pro系列是节卡机器人面向高端工业场景打造的旗舰协作机器人产品线，融合超高精度（±0.02mm）、模块化设计、工业总线集成三大核心优势，满足精密装配、检测、医疗等严苛需求","官网描述","https://cobotglobal.com/zh/product-category/jaka-pro-series-cn/","description: JAKA Pro系列是节卡机器人面向高端工业场景打造的旗舰协作机器人产品线，融合超高精度（±0.02mm）、模块化设计、工业总线集成三大核心优势，满足精密装配、检测、医疗等严苛需求","","","","","已搜索并抓取官方来源","JAKA Pro 系列 旗舰协作机器人产品线 - CobotG <https://cobotglobal.com/zh/product-category/jaka-pro-series-cn/> ; 关于节卡 <https://www.jaka.com/zh/about>","""节卡机器人"" 官网 ; ""节卡机器人"" 愿景 使命 价值观 ; ""节卡机器人"" 价值主张 口号 ; ""节卡机器人"" 公众号 使命","entities/节卡机器人.html"
"金智机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""金智机器人"" 官网 ; ""金智机器人"" 愿景 使命 价值观 ; ""金智机器人"" 价值主张 口号 ; ""金智机器人"" 公众号 使命","entities/金智机器人.html"
"荆楚人形机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""荆楚人形机器人"" 官网 ; ""荆楚人形机器人"" 愿景 使命 价值观 ; ""荆楚人形机器人"" 价值主张 口号 ; ""荆楚人形机器人"" 公众号 使命","entities/荆楚人形机器人.html"
"境智具身","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""境智具身"" 官网 ; ""境智具身"" 愿景 使命 价值观 ; ""境智具身"" 价值主张 口号 ; ""境智具身"" 公众号 使命","entities/境智具身.html"
"九光智能","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""九光智能"" 官网 ; ""九光智能"" 愿景 使命 价值观 ; ""九光智能"" 价值主张 口号 ; ""九光智能"" 公众号 使命","entities/九光智能.html"
"矩阵超智","","","","","","","","","Matrix Robotics is the AI company building a artificial general intelligence humanoids to the physical world. MATRIX-1 is the next-gen humanoids capable of human-like design, move…","官网描述","https://www.matrixrobotics.ai/zh-cn/matrix-1","description: Matrix Robotics is the AI company building a artificial general intelligence humanoids to the physical world. MATRIX-1 is the next-gen humanoids capable of human-like design, movements, behaviors and natura…","","","","","已搜索并抓取官方来源","矩阵超智 | MATRIX-1 通用人工智能机器人 <https://www.matrixrobotics.ai/zh-cn/matrix-1> ; 前特斯拉高管掌舵，人形机器人公司矩阵超智获上市公司联合 ... <http://www.robotsci.com.cn/detail/1996404171670163456> ; 矩阵超智 - 公司详情 - 公司简介 - innoHere英诺嘿呀 <https://www.innohere.com/ir/161769/general.html>","""矩阵超智"" 官网 ; ""矩阵超智"" 愿景 使命 价值观 ; ""矩阵超智"" 价值主张 口号 ; ""矩阵超智"" 公众号 使命","entities/矩阵超智.html"
"具脑磐石","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""具脑磐石"" 官网 ; ""具脑磐石"" 愿景 使命 价值观 ; ""具脑磐石"" 价值主张 口号 ; ""具脑磐石"" 公众号 使命","entities/具脑磐石.html"
"具身科技","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""具身科技"" 官网 ; ""具身科技"" 愿景 使命 价值观 ; ""具身科技"" 价值主张 口号 ; ""具身科技"" 公众号 使命","entities/具身科技.html"
"具身数据","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""具身数据"" 官网 ; ""具身数据"" 愿景 使命 价值观 ; ""具身数据"" 价值主张 口号 ; ""具身数据"" 公众号 使命","entities/具身数据.html"
"具识智能","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""具识智能"" 官网 ; ""具识智能"" 愿景 使命 价值观 ; ""具识智能"" 价值主张 口号 ; ""具识智能"" 公众号 使命","entities/具识智能.html"
